name,file,cluster
ManageLogins,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ManageLogins.aspx.designer.cs,3
VerifyPhoneNumber,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\VerifyPhoneNumber.aspx.designer.cs,3
ResetPasswordConfirmation,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ResetPasswordConfirmation.aspx.designer.cs,3
OpenAuthProviders,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\OpenAuthProviders.ascx.designer.cs,3
RegisterExternalLogin,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\RegisterExternalLogin.aspx.designer.cs,3
ResetPassword,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ResetPassword.aspx.designer.cs,3
CheckoutComplete,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutComplete.aspx.designer.cs,3
OrderDetail,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Models\OrderDetail.cs,4
_Default,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Default.aspx.designer.cs,4
ViewSwitcher,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\ViewSwitcher.ascx.designer.cs,4
Lockout,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Lockout.aspx.designer.cs,4
EmailService,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\IdentityConfig.cs,4
SmsService,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\App_Start\IdentityConfig.cs,4
Contact,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Contact.aspx.designer.cs,4
About,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\About.aspx.designer.cs,4
CheckoutCancel,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutCancel.aspx.designer.cs,4
CheckoutError,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutError.aspx.designer.cs,4
CheckoutStart,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutStart.aspx.designer.cs,4
AzureCredentials,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Helper\CFHelper.cs,4
ResetPasswordConfirmation,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\ResetPasswordConfirmation.aspx.cs,5
About,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\About.aspx.cs,5
Contact,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Contact.aspx.cs,5
Lockout,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Account\Lockout.aspx.cs,6
CheckoutCancel,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutCancel.aspx.cs,6
CheckoutError,C:\\Users\\atish\\source\\repos\\MonolithToMicroservicesTool\\WingtipToys\\WingtipToys\\Checkout\CheckoutError.aspx.cs,6
